Cycle;"World (warning)";Element;ID;Position;Status;Action;Effect
1;"New element";Rabbit;0;"[ 0 - 0 ]";;;
1;"New element";Rabbit;1;"[ 3 - 8 ]";;;
1;"New element";Rabbit;2;"[ 3 - 2 ]";;;
1;"New element";Rabbit;3;"[ 6 - 6 ]";;;
1;"New element";Rabbit;4;"[ 5 - 1 ]";;;
1;"New element";Rabbit;5;"[ 5 - 3 ]";;;
1;"New element";Rabbit;6;"[ 1 - 8 ]";;;
1;"New element";Rabbit;7;"[ 8 - 0 ]";;;
1;"New element";Rabbit;8;"[ 4 - 7 ]";;;
1;"New element";Rabbit;9;"[ 4 - 6 ]";;;
1;"New element";Wolf;10;"[ 9 - 7 ]";;;
1;"New element";Wolf;11;"[ 6 - 2 ]";;;
1;"New element";Carrot;12;"[ 3 - 0 ]";;;
1;"New element";Carrot;13;"[ 7 - 6 ]";;;
1;"New element";Carrot;14;"[ 0 - 1 ]";;;
1;"New element";Carrot;15;"[ 9 - 4 ]";;;
1;"New element";Carrot;16;"[ 5 - 5 ]";;;
1;"New element";Carrot;17;"[ 7 - 7 ]";;;
1;"New element";Carrot;18;"[ 2 - 0 ]";;;
1;"New element";Carrot;19;"[ 1 - 2 ]";;;
1;"New element";Carrot;20;"[ 7 - 0 ]";;;
1;"New element";Carrot;21;"[ 5 - 8 ]";;;
1;"New element";Carrot;22;"[ 4 - 3 ]";;;
1;"New element";Carrot;23;"[ 9 - 2 ]";;;
1;"New element";Carrot;24;"[ 8 - 2 ]";;;
1;"New element";Carrot;25;"[ 8 - 5 ]";;;
1;"New element";Carrot;26;"[ 2 - 6 ]";;;
1;"New element";Carrot;27;"[ 4 - 9 ]";;;
1;"New element";Carrot;28;"[ 3 - 6 ]";;;
1;"New element";Carrot;29;"[ 4 - 1 ]";;;
1;"New element";Carrot;30;"[ 3 - 7 ]";;;
1;"New element";Carrot;31;"[ 8 - 8 ]";;;
1;"New element";Carrot;32;"[ 0 - 6 ]";;;
1;"New element";Carrot;33;"[ 5 - 4 ]";;;
1;"New element";Carrot;34;"[ 0 - 9 ]";;;
1;"New element";Carrot;35;"[ 8 - 7 ]";;;
1;"New element";Carrot;36;"[ 4 - 8 ]";;;
1;"New element";Carrot;37;"[ 3 - 1 ]";;;
1;"New element";Carrot;38;"[ 8 - 9 ]";;;
1;"New element";Carrot;39;"[ 7 - 1 ]";;;
1;"New element";Carrot;40;"[ 0 - 4 ]";;;
1;"New element";Carrot;41;"[ 7 - 2 ]";;;
1;"New element";Lair;42;6.5
1;"New element";Lair;43;4.5
1;"New element";Lair;44;2.4
1;"New element";Lair;45;1.4
1;"New element";Lair;46;7.3
1;"New element";Lair;47;7.4
1;"New element";Lair;48;2.8
1;"New element";Lair;49;1.6
1;"New element";Lair;50;3.3
1;"New element";Lair;51;9.5
1;"New element";Lair;52;5.0
1;"New element";Lair;53;9.9
1;"New element";Lair;54;7.8
1;"New element";Lair;55;1.1
1;"New element";Lair;56;8.6
1;"New element";Lair;57;9.8
1;"New element";Lair;58;4.2
1;"New element";Lair;59;0.2
1;"New element";Lair;60;2.2
1;"New element";Lair;61;1.3
1;"New element";Tree;62;"[ 9 - 6 ]";;;
1;"New element";Tree;63;"[ 6 - 1 ]";;;
1;"New element";Tree;64;"[ 0 - 7 ]";;;
1;"New element";Tree;65;"[ 5 - 2 ]";;;
1;"New element";Tree;66;"[ 0 - 3 ]";;;
1;"New element";Tree;67;"[ 2 - 5 ]";;;
1;"New element";Tree;68;"[ 1 - 7 ]";;;
1;"New element";Tree;69;"[ 9 - 3 ]";;;
1;"New element";Tree;70;"[ 1 - 0 ]";;;
1;"New element";Tree;71;"[ 1 - 5 ]";;;
1;"New element";Tree;72;"[ 9 - 0 ]";;;
1;"New element";Tree;73;"[ 4 - 0 ]";;;
1;"New element";Tree;74;"[ 8 - 3 ]";;;
1;"New element";Tree;75;"[ 3 - 5 ]";;;
1;"New element";Tree;76;"[ 4 - 4 ]";;;
1;"New cycle";;;;;;
1;;Rabbit;0;"[ 0 - 0 ]";;see;
1;;Rabbit;0;"[ 0 - 0 ]";;smell;"Rabbit (0), Wolf (0), Carrot(1)"
1;;Rabbit;0;"[ 0 - 0 ]";;hear;"Rabbit (0), Wolf (0), Carrot(1)"
1;Denied;Rabbit;0;"[ 0 - 0 ]";;move;
1;Denied;Rabbit;0;"[ 0 - 0 ]";;breed;
1;;Rabbit;1;"[ 3 - 8 ]";;see;
1;;Rabbit;1;"[ 3 - 8 ]";;smell;"Rabbit (1), Wolf (0), Carrot(3)"
1;;Rabbit;1;"[ 3 - 8 ]";;hear;"Rabbit (1), Wolf (0), Carrot(3)"
1;;Rabbit;1;"[ 3 - 8 ]";hidden;move;"[ 2 - 8 ]"
1;Denied;Rabbit;1;"[ 2 - 8 ]";;breed;
1;;Rabbit;2;"[ 3 - 2 ]";;see;
1;;Rabbit;2;"[ 3 - 2 ]";;smell;"Rabbit (0), Wolf (0), Carrot(3)"
1;;Rabbit;2;"[ 3 - 2 ]";;hear;"Rabbit (0), Wolf (0), Carrot(3)"
1;;Rabbit;2;"[ 3 - 2 ]";hidden;move;"[ 4 - 2 ]"
1;Denied;Rabbit;2;"[ 4 - 2 ]";;breed;
1;;Rabbit;3;"[ 6 - 6 ]";;see;
1;;Rabbit;3;"[ 6 - 6 ]";;smell;"Rabbit (0), Wolf (0), Carrot(3)"
1;;Rabbit;3;"[ 6 - 6 ]";;hear;"Rabbit (0), Wolf (0), Carrot(3)"
1;"Denied - It is sated";Rabbit;3;"[ 6 - 6 ]";;move;
1;Denied;Rabbit;3;"[ 6 - 6 ]";;breed;
1;;Rabbit;4;"[ 5 - 1 ]";;see;
1;;Rabbit;4;"[ 5 - 1 ]";;smell;"Rabbit (1), Wolf (1), Carrot(1)"
1;;Rabbit;4;"[ 5 - 1 ]";;hear;"Rabbit (0), Wolf (1), Carrot(1)"
1;Denied;Rabbit;4;"[ 5 - 1 ]";;move;
1;Denied;Rabbit;4;"[ 5 - 1 ]";;breed;
1;;Rabbit;5;"[ 5 - 3 ]";;see;
1;;Rabbit;5;"[ 5 - 3 ]";;smell;"Rabbit (1), Wolf (1), Carrot(2)"
1;;Rabbit;5;"[ 5 - 3 ]";;hear;"Rabbit (0), Wolf (1), Carrot(2)"
1;"Denied - It is sated";Rabbit;5;"[ 5 - 3 ]";;move;
1;Denied;Rabbit;5;"[ 5 - 3 ]";;breed;
1;;Rabbit;6;"[ 1 - 8 ]";;see;
1;;Rabbit;6;"[ 1 - 8 ]";;smell;"Rabbit (1), Wolf (0), Carrot(1)"
1;;Rabbit;6;"[ 1 - 8 ]";;hear;"Rabbit (0), Wolf (0), Carrot(1)"
1;Denied;Rabbit;6;"[ 1 - 8 ]";;move;
1;Denied;Rabbit;6;"[ 1 - 8 ]";;breed;
1;;Rabbit;7;"[ 8 - 0 ]";;see;
1;;Rabbit;7;"[ 8 - 0 ]";;smell;"Rabbit (0), Wolf (0), Carrot(2)"
1;;Rabbit;7;"[ 8 - 0 ]";;hear;"Rabbit (0), Wolf (0), Carrot(2)"
1;;Rabbit;7;"[ 8 - 0 ]";;move;"[ 8 - 1 ]"
1;Denied;Rabbit;7;"[ 8 - 1 ]";;breed;
1;;Rabbit;8;"[ 4 - 7 ]";;see;
1;;Rabbit;8;"[ 4 - 7 ]";;smell;"Rabbit (1), Wolf (0), Carrot(4)"
1;;Rabbit;8;"[ 4 - 7 ]";;hear;"Rabbit (1), Wolf (0), Carrot(4)"
1;Denied;Rabbit;8;"[ 4 - 7 ]";;move;
1;Denied;Rabbit;8;"[ 4 - 7 ]";;breed;
1;;Rabbit;9;"[ 4 - 6 ]";;see;
1;;Rabbit;9;"[ 4 - 6 ]";;smell;"Rabbit (1), Wolf (0), Carrot(3)"
1;;Rabbit;9;"[ 4 - 6 ]";;hear;"Rabbit (1), Wolf (0), Carrot(3)"
1;"Denied - It is sated";Rabbit;9;"[ 4 - 6 ]";;move;
1;Denied;Rabbit;9;"[ 4 - 6 ]";;breed;
1;;Wolf;10;"[ 9 - 7 ]";;see;
1;;Wolf;10;"[ 9 - 7 ]";;smell;"Rabbit (0), Wolf (0), Carrot(2)"
1;;Wolf;10;"[ 9 - 7 ]";;hear;"Rabbit (0), Wolf (0), Carrot(2)"
1;Denied;Wolf;10;"[ 9 - 7 ]";;move;
1;;Wolf;10;"[ 9 - 7 ]";sleeping;sleep;
1;Denied;Wolf;10;"[ 9 - ";"7 ]";;breed;
1;;Wolf;11;"[ 6 - 2 ]";;see;
1;;Wolf;11;"[ 6 - 2 ]";;smell;"Rabbit (2), Wolf (0), Carrot(2)"
1;;Wolf;11;"[ 6 - 2 ]";;hear;"Rabbit (2), Wolf (0), Carrot(2)"
1;Denied;Wolf;11;"[ 6 - 2 ]";;move;
1;;Wolf;11;"[ 6 - 2 ]";sleeping;sleep;
1;Denied;Wolf;11;"[ 6 - ";"2 ]";;breed;
2;"New cycle";;;;;;
2;;Rabbit;0;"[ 0 - 0 ]";;see;
2;;Rabbit;0;"[ 0 - 0 ]";;smell;"Rabbit (0), Wolf (0), Carrot(1)"
2;;Rabbit;0;"[ 0 - 0 ]";;hear;"Rabbit (0), Wolf (0), Carrot(1)"
2;Denied;Rabbit;0;"[ 0 - 0 ]";;move;
2;Denied;Rabbit;0;"[ 0 - 0 ]";;breed;
2;;Rabbit;1;"[ 2 - 8 ]";;see;
2;;Rabbit;1;"[ 2 - 8 ]";;smell;"Rabbit (1), Wolf (0), Carrot(1)"
2;;Rabbit;1;"[ 2 - 8 ]";;hear;"Rabbit (1), Wolf (0), Carrot(1)"
2;;Rabbit;1;"[ 2 - 8 ]";;move;"[ 2 - 9 ]"
2;Denied;Rabbit;1;"[ 2 - 9 ]";;breed;
2;;Rabbit;2;"[ 4 - 2 ]";;see;
2;;Rabbit;2;"[ 4 - 2 ]";;smell;"Rabbit (2), Wolf (0), Carrot(3)"
2;;Rabbit;2;"[ 4 - 2 ]";;hear;"Rabbit (2), Wolf (0), Carrot(3)"
2;"Denied - It is sated";Rabbit;2;"[ 4 - 2 ]";;move;
2;Denied;Rabbit;2;"[ 4 - 2 ]";;breed;
2;;Rabbit;3;"[ 6 - 6 ]";;see;
2;;Rabbit;3;"[ 6 - 6 ]";;smell;"Rabbit (0), Wolf (0), Carrot(3)"
2;;Rabbit;3;"[ 6 - 6 ]";;hear;"Rabbit (0), Wolf (0), Carrot(3)"
2;;Rabbit;3;"[ 6 - 6 ]";hidden;move;"[ 6 - 5 ]"
2;Denied;Rabbit;3;"[ 6 - 5 ]";;breed;
2;;Rabbit;4;"[ 5 - 1 ]";;see;
2;;Rabbit;4;"[ 5 - 1 ]";;smell;"Rabbit (1), Wolf (1), Carrot(1)"
2;;Rabbit;4;"[ 5 - 1 ]";;hear;"Rabbit (0), Wolf (1), Carrot(1)"
2;Denied;Rabbit;4;"[ 5 - 1 ]";;move;
2;Denied;Rabbit;4;"[ 5 - 1 ]";;breed;
2;;Rabbit;5;"[ 5 - 3 ]";;see;
2;;Rabbit;5;"[ 5 - 3 ]";;smell;"Rabbit (1), Wolf (1), Carrot(2)"
2;;Rabbit;5;"[ 5 - 3 ]";;hear;"Rabbit (0), Wolf (1), Carrot(2)"
2;"Denied - It is sated";Rabbit;5;"[ 5 - 3 ]";;move;
2;Denied;Rabbit;5;"[ 5 - 3 ]";;breed;
2;;Rabbit;6;"[ 1 - 8 ]";;see;
2;;Rabbit;6;"[ 1 - 8 ]";;smell;"Rabbit (1), Wolf (0), Carrot(1)"
2;;Rabbit;6;"[ 1 - 8 ]";;hear;"Rabbit (1), Wolf (0), Carrot(1)"
2;Denied;Rabbit;6;"[ 1 - 8 ]";;move;
2;Denied;Rabbit;6;"[ 1 - 8 ]";;breed;
2;;Rabbit;7;"[ 8 - 1 ]";;see;
2;;Rabbit;7;"[ 8 - 1 ]";;smell;"Rabbit (0), Wolf (0), Carrot(5)"
2;;Rabbit;7;"[ 8 - 1 ]";;hear;"Rabbit (0), Wolf (0), Carrot(5)"
2;"Denied - It is sated";Rabbit;7;"[ 8 - 1 ]";;move;
2;Denied;Rabbit;7;"[ 8 - 1 ]";;breed;
2;;Rabbit;8;"[ 4 - 7 ]";;see;
2;;Rabbit;8;"[ 4 - 7 ]";;smell;"Rabbit (1), Wolf (0), Carrot(4)"
2;;Rabbit;8;"[ 4 - 7 ]";;hear;"Rabbit (1), Wolf (0), Carrot(4)"
2;"Denied - It is sated";Rabbit;8;"[ 4 - 7 ]";;move;
2;Denied;Rabbit;8;"[ 4 - 7 ]";;breed;
2;;Rabbit;9;"[ 4 - 6 ]";;see;
2;;Rabbit;9;"[ 4 - 6 ]";;smell;"Rabbit (1), Wolf (0), Carrot(3)"
2;;Rabbit;9;"[ 4 - 6 ]";;hear;"Rabbit (1), Wolf (0), Carrot(3)"
2;Denied;Rabbit;9;"[ 4 - 6 ]";;move;
2;Denied;Rabbit;9;"[ 4 - 6 ]";;breed;
2;;Wolf;10;"[9 - 7 ]";eating;;
2;;Wolf;11;"[6 - 2 ]";eating;;
3;"New cycle";;;;;;
3;;Rabbit;0;"[ 0 - 0 ]";;see;
3;;Rabbit;0;"[ 0 - 0 ]";;smell;"Rabbit (0), Wolf (0), Carrot(1)"
3;;Rabbit;0;"[ 0 - 0 ]";;hear;"Rabbit (0), Wolf (0), Carrot(1)"
3;Denied;Rabbit;0;"[ 0 - 0 ]";;move;
3;Denied;Rabbit;0;"[ 0 - 0 ]";;breed;
3;;Rabbit;1;"[ 2 - 9 ]";;see;
3;;Rabbit;1;"[ 2 - 9 ]";;smell;"Rabbit (1), Wolf (0), Carrot(0)"
3;;Rabbit;1;"[ 2 - 9 ]";;hear;"Rabbit (1), Wolf (0), Carrot(0)"
3;Denied;Rabbit;1;"[ 2 - 9 ]";;move;
3;Denied;Rabbit;1;"[ 2 - 9 ]";;breed;
3;;Rabbit;2;"[ 4 - 2 ]";;see;
3;;Rabbit;2;"[ 4 - 2 ]";;smell;"Rabbit (2), Wolf (0), Carrot(3)"
