Cycle;"World (warning)";Element;ID;Position;Status;Action;Effect
0;"New element";Rabbit;0;"[ 17 - 6 ]";;;
0;"New element";Rabbit;1;"[ 1 - 22 ]";;;
0;"New element";Rabbit;2;"[ 20 - 11 ]";;;
0;"New element";Rabbit;3;"[ 8 - 16 ]";;;
0;"New element";Rabbit;4;"[ 24 - 20 ]";;;
0;"New element";Rabbit;5;"[ 18 - 16 ]";;;
0;"New element";Rabbit;6;"[ 2 - 24 ]";;;
0;"New element";Rabbit;7;"[ 22 - 8 ]";;;
0;"New element";Rabbit;8;"[ 18 - 0 ]";;;
0;"New element";Rabbit;9;"[ 1 - 12 ]";;;
0;"New element";Rabbit;10;"[ 19 - 13 ]";;;
0;"New element";Rabbit;11;"[ 24 - 12 ]";;;
0;"New element";Rabbit;12;"[ 18 - 14 ]";;;
0;"New element";Rabbit;13;"[ 21 - 4 ]";;;
0;"New element";Rabbit;14;"[ 14 - 21 ]";;;
0;"New element";Rabbit;15;"[ 9 - 22 ]";;;
0;"New element";Rabbit;16;"[ 18 - 8 ]";;;
0;"New element";Rabbit;17;"[ 6 - 17 ]";;;
0;"New element";Rabbit;18;"[ 21 - 5 ]";;;
0;"New element";Rabbit;19;"[ 12 - 24 ]";;;
0;"New element";Rabbit;20;"[ 18 - 1 ]";;;
0;"New element";Rabbit;21;"[ 12 - 19 ]";;;
0;"New element";Rabbit;22;"[ 3 - 7 ]";;;
0;"New element";Rabbit;23;"[ 18 - 6 ]";;;
0;"New element";Rabbit;24;"[ 7 - 18 ]";;;
0;"New element";Rabbit;25;"[ 3 - 23 ]";;;
0;"New element";Rabbit;26;"[ 23 - 20 ]";;;
0;"New element";Rabbit;27;"[ 5 - 23 ]";;;
0;"New element";Rabbit;28;"[ 7 - 6 ]";;;
0;"New element";Rabbit;29;"[ 22 - 21 ]";;;
0;"New element";Rabbit;30;"[ 1 - 13 ]";;;
0;"New element";Rabbit;31;"[ 17 - 19 ]";;;
0;"New element";Rabbit;32;"[ 12 - 9 ]";;;
0;"New element";Rabbit;33;"[ 13 - 7 ]";;;
0;"New element";Rabbit;34;"[ 6 - 5 ]";;;
0;"New element";Rabbit;35;"[ 22 - 12 ]";;;
0;"New element";Rabbit;36;"[ 14 - 20 ]";;;
0;"New element";Rabbit;37;"[ 19 - 24 ]";;;
0;"New element";Rabbit;38;"[ 5 - 15 ]";;;
0;"New element";Rabbit;39;"[ 15 - 21 ]";;;
0;"New element";Rabbit;40;"[ 9 - 9 ]";;;
0;"New element";Rabbit;41;"[ 10 - 18 ]";;;
0;"New element";Rabbit;42;"[ 19 - 11 ]";;;
0;"New element";Rabbit;43;"[ 14 - 16 ]";;;
0;"New element";Rabbit;44;"[ 15 - 18 ]";;;
0;"New element";Rabbit;45;"[ 3 - 5 ]";;;
0;"New element";Rabbit;46;"[ 15 - 13 ]";;;
0;"New element";Rabbit;47;"[ 13 - 14 ]";;;
0;"New element";Rabbit;48;"[ 0 - 17 ]";;;
0;"New element";Rabbit;49;"[ 12 - 13 ]";;;
0;"New element";Rabbit;50;"[ 5 - 10 ]";;;
0;"New element";Rabbit;51;"[ 8 - 24 ]";;;
0;"New element";Rabbit;52;"[ 23 - 14 ]";;;
0;"New element";Rabbit;53;"[ 5 - 7 ]";;;
0;"New element";Rabbit;54;"[ 9 - 21 ]";;;
0;"New element";Rabbit;55;"[ 8 - 8 ]";;;
0;"New element";Rabbit;56;"[ 12 - 22 ]";;;
0;"New element";Rabbit;57;"[ 11 - 12 ]";;;
0;"New element";Rabbit;58;"[ 20 - 18 ]";;;
0;"New element";Rabbit;59;"[ 19 - 14 ]";;;
0;"New element";Rabbit;60;"[ 5 - 24 ]";;;
0;"New element";Rabbit;61;"[ 0 - 22 ]";;;
0;"New element";Rabbit;62;"[ 5 - 18 ]";;;
0;"New element";Rabbit;63;"[ 10 - 9 ]";;;
0;"New element";Rabbit;64;"[ 19 - 15 ]";;;
0;"New element";Rabbit;65;"[ 16 - 6 ]";;;
0;"New element";Rabbit;66;"[ 9 - 16 ]";;;
0;"New element";Rabbit;67;"[ 23 - 12 ]";;;
0;"New element";Rabbit;68;"[ 1 - 9 ]";;;
0;"New element";Rabbit;69;"[ 0 - 6 ]";;;
0;"New element";Rabbit;70;"[ 4 - 17 ]";;;
0;"New element";Rabbit;71;"[ 12 - 10 ]";;;
0;"New element";Rabbit;72;"[ 22 - 5 ]";;;
0;"New element";Rabbit;73;"[ 21 - 19 ]";;;
0;"New element";Rabbit;74;"[ 4 - 3 ]";;;
0;"New element";Rabbit;75;"[ 19 - 7 ]";;;
0;"New element";Rabbit;76;"[ 17 - 10 ]";;;
0;"New element";Rabbit;77;"[ 17 - 8 ]";;;
0;"New element";Rabbit;78;"[ 16 - 9 ]";;;
0;"New element";Rabbit;79;"[ 10 - 8 ]";;;
0;"New element";Rabbit;80;"[ 11 - 9 ]";;;
0;"New element";Rabbit;81;"[ 21 - 21 ]";;;
0;"New element";Rabbit;82;"[ 20 - 20 ]";;;
0;"New element";Rabbit;83;"[ 13 - 24 ]";;;
0;"New element";Rabbit;84;"[ 22 - 11 ]";;;
0;"New element";Rabbit;85;"[ 9 - 8 ]";;;
0;"New element";Rabbit;86;"[ 12 - 17 ]";;;
0;"New element";Rabbit;87;"[ 21 - 1 ]";;;
0;"New element";Rabbit;88;"[ 19 - 8 ]";;;
0;"New element";Rabbit;89;"[ 0 - 16 ]";;;
0;"New element";Rabbit;90;"[ 5 - 6 ]";;;
0;"New element";Rabbit;91;"[ 21 - 20 ]";;;
0;"New element";Rabbit;92;"[ 12 - 11 ]";;;
0;"New element";Rabbit;93;"[ 13 - 21 ]";;;
0;"New element";Rabbit;94;"[ 21 - 16 ]";;;
0;"New element";Rabbit;95;"[ 10 - 15 ]";;;
0;"New element";Rabbit;96;"[ 22 - 2 ]";;;
0;"New element";Rabbit;97;"[ 12 - 14 ]";;;
0;"New element";Rabbit;98;"[ 2 - 16 ]";;;
0;"New element";Rabbit;99;"[ 20 - 21 ]";;;
0;"New element";Rabbit;100;"[ 15 - 7 ]";;;
0;"New element";Rabbit;101;"[ 17 - 13 ]";;;
0;"New element";Rabbit;102;"[ 13 - 13 ]";;;
0;"New element";Rabbit;103;"[ 22 - 15 ]";;;
0;"New element";Rabbit;104;"[ 4 - 23 ]";;;
0;"New element";Rabbit;105;"[ 8 - 17 ]";;;
0;"New element";Rabbit;106;"[ 2 - 18 ]";;;
0;"New element";Rabbit;107;"[ 2 - 7 ]";;;
0;"New element";Rabbit;108;"[ 6 - 15 ]";;;
0;"New element";Rabbit;109;"[ 22 - 20 ]";;;
0;"New element";Rabbit;110;"[ 4 - 15 ]";;;
0;"New element";Rabbit;111;"[ 24 - 1 ]";;;
0;"New element";Rabbit;112;"[ 18 - 7 ]";;;
0;"New element";Rabbit;113;"[ 0 - 9 ]";;;
0;"New element";Rabbit;114;"[ 11 - 21 ]";;;
0;"New element";Rabbit;115;"[ 7 - 16 ]";;;
0;"New element";Rabbit;116;"[ 7 - 19 ]";;;
0;"New element";Rabbit;117;"[ 11 - 4 ]";;;
0;"New element";Rabbit;118;"[ 19 - 20 ]";;;
0;"New element";Rabbit;119;"[ 18 - 19 ]";;;
0;"New element";Rabbit;120;"[ 24 - 22 ]";;;
0;"New element";Rabbit;121;"[ 5 - 8 ]";;;
0;"New element";Rabbit;122;"[ 19 - 1 ]";;;
0;"New element";Rabbit;123;"[ 6 - 9 ]";;;
0;"New element";Rabbit;124;"[ 7 - 11 ]";;;
0;"New element";Rabbit;125;"[ 7 - 22 ]";;;
0;"New element";Rabbit;126;"[ 1 - 20 ]";;;
0;"New element";Rabbit;127;"[ 21 - 8 ]";;;
0;"New element";Rabbit;128;"[ 19 - 10 ]";;;
0;"New element";Rabbit;129;"[ 6 - 10 ]";;;
0;"New element";Rabbit;130;"[ 20 - 7 ]";;;
0;"New element";Rabbit;131;"[ 14 - 9 ]";;;
0;"New element";Rabbit;132;"[ 4 - 0 ]";;;
0;"New element";Rabbit;133;"[ 7 - 17 ]";;;
0;"New element";Rabbit;134;"[ 5 - 17 ]";;;
0;"New element";Rabbit;135;"[ 4 - 22 ]";;;
0;"New element";Rabbit;136;"[ 12 - 7 ]";;;
0;"New element";Rabbit;137;"[ 13 - 3 ]";;;
0;"New element";Rabbit;138;"[ 14 - 19 ]";;;
0;"New element";Rabbit;139;"[ 1 - 14 ]";;;
0;"New element";Rabbit;140;"[ 7 - 10 ]";;;
0;"New element";Rabbit;141;"[ 2 - 10 ]";;;
0;"New element";Rabbit;142;"[ 23 - 1 ]";;;
0;"New element";Rabbit;143;"[ 18 - 18 ]";;;
0;"New element";Rabbit;144;"[ 11 - 15 ]";;;
0;"New element";Rabbit;145;"[ 21 - 12 ]";;;
0;"New element";Rabbit;146;"[ 18 - 5 ]";;;
0;"New element";Rabbit;147;"[ 2 - 12 ]";;;
0;"New element";Rabbit;148;"[ 11 - 2 ]";;;
0;"New element";Rabbit;149;"[ 15 - 15 ]";;;
0;"New element";Wolf;150;"[ 4 - 8 ]";;;
0;"New element";Wolf;151;"[ 15 - 19 ]";;;
0;"New element";Wolf;152;"[ 20 - 14 ]";;;
0;"New element";Wolf;153;"[ 15 - 22 ]";;;
0;"New element";Wolf;154;"[ 7 - 20 ]";;;
0;"New element";Carrot;155;"[ 12 - 1 ]";;;
0;"New element";Carrot;156;"[ 14 - 13 ]";;;
0;"New element";Carrot;157;"[ 16 - 15 ]";;;
0;"New element";Carrot;158;"[ 3 - 20 ]";;;
0;"New element";Carrot;159;"[ 0 - 2 ]";;;
0;"New element";Carrot;160;"[ 20 - 15 ]";;;
0;"New element";Carrot;161;"[ 15 - 16 ]";;;
0;"New element";Carrot;162;"[ 14 - 7 ]";;;
0;"New element";Carrot;163;"[ 23 - 8 ]";;;
0;"New element";Carrot;164;"[ 14 - 18 ]";;;
0;"New element";Carrot;165;"[ 23 - 18 ]";;;
0;"New element";Carrot;166;"[ 14 - 6 ]";;;
0;"New element";Carrot;167;"[ 2 - 23 ]";;;
0;"New element";Carrot;168;"[ 19 - 17 ]";;;
0;"New element";Carrot;169;"[ 9 - 14 ]";;;
0;"New element";Carrot;170;"[ 22 - 10 ]";;;
0;"New element";Carrot;171;"[ 6 - 18 ]";;;
0;"New element";Carrot;172;"[ 3 - 6 ]";;;
0;"New element";Carrot;173;"[ 17 - 23 ]";;;
0;"New element";Carrot;174;"[ 6 - 13 ]";;;
0;"New element";Carrot;175;"[ 4 - 9 ]";;;
0;"New element";Carrot;176;"[ 11 - 3 ]";;;
0;"New element";Carrot;177;"[ 14 - 17 ]";;;
