Cycle;"World (warning)";Element;ID;Position;Status;Action;Effect
0;"New element";Rabbit;0;"[ 18 - 10 ]";;;
0;"New element";Rabbit;1;"[ 9 - 24 ]";;;
0;"New element";Rabbit;2;"[ 5 - 2 ]";;;
0;"New element";Rabbit;3;"[ 7 - 18 ]";;;
0;"New element";Rabbit;4;"[ 11 - 22 ]";;;
0;"New element";Rabbit;5;"[ 5 - 4 ]";;;
0;"New element";Rabbit;6;"[ 8 - 18 ]";;;
0;"New element";Rabbit;7;"[ 18 - 23 ]";;;
0;"New element";Rabbit;8;"[ 3 - 2 ]";;;
0;"New element";Rabbit;9;"[ 23 - 7 ]";;;
0;"New element";Rabbit;10;"[ 19 - 24 ]";;;
0;"New element";Rabbit;11;"[ 10 - 23 ]";;;
0;"New element";Rabbit;12;"[ 13 - 20 ]";;;
0;"New element";Rabbit;13;"[ 7 - 1 ]";;;
0;"New element";Rabbit;14;"[ 7 - 14 ]";;;
0;"New element";Rabbit;15;"[ 4 - 11 ]";;;
0;"New element";Rabbit;16;"[ 9 - 19 ]";;;
0;"New element";Rabbit;17;"[ 2 - 7 ]";;;
0;"New element";Rabbit;18;"[ 16 - 7 ]";;;
0;"New element";Rabbit;19;"[ 11 - 17 ]";;;
0;"New element";Rabbit;20;"[ 0 - 17 ]";;;
0;"New element";Rabbit;21;"[ 15 - 22 ]";;;
0;"New element";Rabbit;22;"[ 17 - 5 ]";;;
0;"New element";Rabbit;23;"[ 12 - 9 ]";;;
0;"New element";Rabbit;24;"[ 20 - 0 ]";;;
0;"New element";Rabbit;25;"[ 22 - 3 ]";;;
0;"New element";Rabbit;26;"[ 0 - 22 ]";;;
0;"New element";Rabbit;27;"[ 5 - 14 ]";;;
0;"New element";Rabbit;28;"[ 7 - 17 ]";;;
0;"New element";Rabbit;29;"[ 8 - 4 ]";;;
0;"New element";Rabbit;30;"[ 10 - 24 ]";;;
0;"New element";Rabbit;31;"[ 4 - 12 ]";;;
0;"New element";Rabbit;32;"[ 12 - 10 ]";;;
0;"New element";Rabbit;33;"[ 10 - 18 ]";;;
0;"New element";Rabbit;34;"[ 21 - 10 ]";;;
0;"New element";Rabbit;35;"[ 4 - 2 ]";;;
0;"New element";Rabbit;36;"[ 7 - 24 ]";;;
0;"New element";Rabbit;37;"[ 1 - 8 ]";;;
0;"New element";Rabbit;38;"[ 5 - 13 ]";;;
0;"New element";Rabbit;39;"[ 2 - 16 ]";;;
0;"New element";Rabbit;40;"[ 10 - 3 ]";;;
0;"New element";Rabbit;41;"[ 23 - 19 ]";;;
0;"New element";Rabbit;42;"[ 7 - 5 ]";;;
0;"New element";Rabbit;43;"[ 16 - 22 ]";;;
0;"New element";Rabbit;44;"[ 16 - 17 ]";;;
0;"New element";Rabbit;45;"[ 21 - 18 ]";;;
0;"New element";Rabbit;46;"[ 21 - 2 ]";;;
0;"New element";Rabbit;47;"[ 16 - 13 ]";;;
0;"New element";Rabbit;48;"[ 17 - 9 ]";;;
0;"New element";Rabbit;49;"[ 14 - 0 ]";;;
0;"New element";Rabbit;50;"[ 14 - 24 ]";;;
0;"New element";Rabbit;51;"[ 18 - 9 ]";;;
0;"New element";Rabbit;52;"[ 8 - 22 ]";;;
0;"New element";Rabbit;53;"[ 19 - 8 ]";;;
0;"New element";Rabbit;54;"[ 19 - 3 ]";;;
0;"New element";Rabbit;55;"[ 8 - 1 ]";;;
0;"New element";Rabbit;56;"[ 6 - 12 ]";;;
0;"New element";Rabbit;57;"[ 18 - 17 ]";;;
0;"New element";Rabbit;58;"[ 10 - 15 ]";;;
0;"New element";Rabbit;59;"[ 9 - 14 ]";;;
0;"New element";Rabbit;60;"[ 19 - 4 ]";;;
0;"New element";Rabbit;61;"[ 15 - 1 ]";;;
0;"New element";Rabbit;62;"[ 12 - 12 ]";;;
0;"New element";Rabbit;63;"[ 7 - 4 ]";;;
0;"New element";Rabbit;64;"[ 2 - 4 ]";;;
0;"New element";Rabbit;65;"[ 17 - 13 ]";;;
0;"New element";Rabbit;66;"[ 19 - 17 ]";;;
0;"New element";Rabbit;67;"[ 22 - 6 ]";;;
0;"New element";Rabbit;68;"[ 19 - 12 ]";;;
0;"New element";Rabbit;69;"[ 19 - 13 ]";;;
0;"New element";Rabbit;70;"[ 14 - 20 ]";;;
0;"New element";Rabbit;71;"[ 24 - 2 ]";;;
0;"New element";Rabbit;72;"[ 13 - 2 ]";;;
0;"New element";Rabbit;73;"[ 13 - 4 ]";;;
0;"New element";Rabbit;74;"[ 12 - 7 ]";;;
